TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-03 23:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 00:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 01:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 02:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 03:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 04:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 05:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 06:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 07:00:00,32.74,69.0,4.06,11.51,2.85,0.23,January,Winter,Christmas & New Year,69.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 08:00:00,37.75,79.9,3.99,11.51,2.85,0.23,January,Winter,Christmas & New Year,79.9,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 09:00:00,39.51,83.72,4.02,11.51,2.76,0.23,January,Winter,Christmas & New Year,83.72,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 10:00:00,28.36,59.55,4.0,11.5,3.11,0.23,January,Winter,Christmas & New Year,59.55,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 11:00:00,27.64,57.91,4.01,11.49,3.26,0.23,January,Winter,Christmas & New Year,57.91,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 12:00:00,26.43,55.28,4.04,11.48,3.09,0.23,January,Winter,Christmas & New Year,55.28,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 13:00:00,29.64,62.24,4.01,11.48,2.91,0.23,January,Winter,Christmas & New Year,62.24,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 14:00:00,34.99,73.9,4.06,11.48,2.38,0.23,January,Winter,Christmas & New Year,73.9,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 15:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 16:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 17:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 18:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 19:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 20:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 21:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 22:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-04 23:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 00:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-05 01:00:00,21.24,44.760000000000005,7.98,3.52,7.3,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
