TIMESTAMP,PM10,NO2,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-06-18 22:00:00,42.0,35.52,8.63,4.9,22.05,June,Monsoon,Non-Festival Period,136.08860759493672,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-18 23:00:00,49.75,36.0,1.3,4.72,22.05,June,Monsoon,Non-Festival Period,133.83291139240507,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 00:00:00,55.0,36.42,7.32,4.5,0.59,June,Monsoon,Non-Festival Period,131.0759493670886,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 01:00:00,53.5,35.83,8.95,0.42,3.53,June,Monsoon,Non-Festival Period,53.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 02:00:00,55.0,36.9,8.63,2.17,6.86,June,Monsoon,Non-Festival Period,101.87721518987341,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 03:00:00,69.5,37.03,8.63,1.66,22.05,June,Monsoon,Non-Festival Period,81.48888888888888,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 04:00:00,55.5,37.28,8.63,0.42,22.05,June,Monsoon,Non-Festival Period,55.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 05:00:00,51.75,39.25,8.63,0.42,8.23,June,Monsoon,Non-Festival Period,51.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 06:00:00,62.0,30.9,10.9,2.38,22.05,June,Monsoon,Non-Festival Period,104.50886075949367,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 07:00:00,37.75,32.1,11.53,2.54,0.2,June,Monsoon,Non-Festival Period,106.51392405063291,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 08:00:00,51.5,29.2,9.65,1.38,14.11,June,Monsoon,Non-Festival Period,66.24444444444444,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 09:00:00,40.75,26.75,9.4,0.66,2.35,June,Monsoon,Non-Festival Period,40.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 10:00:00,38.25,24.25,8.63,1.34,1.18,June,Monsoon,Non-Festival Period,64.06666666666666,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 11:00:00,35.0,25.43,8.63,1.07,11.76,June,Monsoon,Non-Festival Period,35.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 12:00:00,41.5,25.75,8.63,0.51,5.78,June,Monsoon,Non-Festival Period,41.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 13:00:00,49.75,28.12,8.5,1.13,22.05,June,Monsoon,Non-Festival Period,52.633333333333326,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 14:00:00,54.75,29.9,8.63,2.0,7.64,June,Monsoon,Non-Festival Period,100.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 15:00:00,16.25,39.4,8.63,3.26,2.35,June,Monsoon,Non-Festival Period,115.53670886075949,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 16:00:00,39.5,34.3,5.17,3.22,3.33,June,Monsoon,Non-Festival Period,115.03544303797469,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 17:00:00,44.0,22.73,8.63,1.19,3.82,June,Monsoon,Non-Festival Period,55.89999999999999,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 18:00:00,47.25,31.08,8.63,0.05,13.33,June,Monsoon,Non-Festival Period,47.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 19:00:00,54.25,37.33,8.63,0.42,18.03,June,Monsoon,Non-Festival Period,54.25,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 20:00:00,46.0,37.88,8.63,0.42,22.73,June,Monsoon,Non-Festival Period,47.35,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 21:00:00,50.0,39.52,8.15,0.22,8.14,June,Monsoon,Non-Festival Period,50.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 22:00:00,56.5,39.65,7.22,0.42,8.23,June,Monsoon,Non-Festival Period,56.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-19 23:00:00,37.5,40.75,8.3,0.42,2.74,June,Monsoon,Non-Festival Period,37.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 00:00:00,37.5,41.72,7.43,4.99,7.05,June,Monsoon,Non-Festival Period,137.21645569620253,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 01:00:00,62.25,42.25,8.63,5.04,5.16,June,Monsoon,Non-Festival Period,137.84303797468354,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 02:00:00,56.25,33.0,8.63,2.44,4.12,June,Monsoon,Non-Festival Period,105.26075949367089,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 03:00:00,25.0,37.98,8.63,2.15,9.6,June,Monsoon,Non-Festival Period,101.62658227848101,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 04:00:00,45.0,44.52,8.63,1.21,1.18,June,Monsoon,Non-Festival Period,56.98888888888888,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 05:00:00,43.25,37.98,1.47,0.81,10.0,June,Monsoon,Non-Festival Period,47.474999999999994,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 06:00:00,46.25,37.78,2.95,0.22,4.51,June,Monsoon,Non-Festival Period,47.225,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 07:00:00,47.0,36.28,0.3,1.23,13.28,June,Monsoon,Non-Festival Period,58.077777777777776,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 08:00:00,55.75,34.08,2.2,2.96,50.96,June,Monsoon,Non-Festival Period,111.77721518987342,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 09:00:00,49.5,29.5,6.15,3.44,26.36,June,Monsoon,Non-Festival Period,117.79240506329114,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 10:00:00,33.75,25.95,4.7,0.61,18.42,June,Monsoon,Non-Festival Period,33.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 11:00:00,36.0,25.03,8.63,1.89,72.72,June,Monsoon,Non-Festival Period,94.0111111111111,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 12:00:00,33.5,28.35,8.63,0.57,51.16,June,Monsoon,Non-Festival Period,51.16,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 13:00:00,24.5,27.32,9.75,0.38,32.14,June,Monsoon,Non-Festival Period,34.15,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 14:00:00,20.5,26.65,11.28,0.72,52.82,June,Monsoon,Non-Festival Period,52.82,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 15:00:00,24.0,23.42,11.97,0.75,11.08,June,Monsoon,Non-Festival Period,37.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 16:00:00,34.0,25.18,8.63,0.39,19.34,June,Monsoon,Non-Festival Period,34.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 17:00:00,46.25,29.9,8.63,0.42,25.87,June,Monsoon,Non-Festival Period,46.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 18:00:00,51.75,27.98,8.63,0.09,6.47,June,Monsoon,Non-Festival Period,51.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 19:00:00,62.75,25.95,5.9,0.42,11.89,June,Monsoon,Non-Festival Period,62.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 20:00:00,54.0,31.8,8.47,0.64,14.31,June,Monsoon,Non-Festival Period,54.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 21:00:00,50.75,31.05,7.92,0.54,14.4,June,Monsoon,Non-Festival Period,38.8125,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 22:00:00,33.5,31.25,7.88,0.61,16.95,June,Monsoon,Non-Festival Period,39.0625,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-20 23:00:00,37.5,27.12,7.87,0.92,44.63,June,Monsoon,Non-Festival Period,46.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 00:00:00,41.25,29.02,5.2,0.42,20.97,June,Monsoon,Non-Festival Period,41.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 01:00:00,50.5,27.68,3.25,0.42,43.05,June,Monsoon,Non-Festival Period,43.05,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 02:00:00,34.5,29.2,8.63,0.42,3.14,June,Monsoon,Non-Festival Period,36.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 03:00:00,44.5,29.82,8.63,0.42,16.57,June,Monsoon,Non-Festival Period,44.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 04:00:00,57.25,35.92,9.2,6.62,1.18,June,Monsoon,Non-Festival Period,157.64303797468352,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 05:00:00,88.25,38.2,9.48,6.58,22.05,June,Monsoon,Non-Festival Period,157.14177215189875,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 06:00:00,55.0,41.1,9.62,2.42,37.04,June,Monsoon,Non-Festival Period,105.01012658227847,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 07:00:00,64.25,39.1,10.1,1.59,19.01,June,Monsoon,Non-Festival Period,77.67777777777778,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 08:00:00,67.5,30.62,2.75,0.42,31.82,June,Monsoon,Non-Festival Period,67.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 09:00:00,49.0,24.55,4.2,0.42,45.76,June,Monsoon,Non-Festival Period,49.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 10:00:00,64.0,25.78,5.43,0.5,22.05,June,Monsoon,Non-Festival Period,64.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 11:00:00,86.5,25.6,8.63,0.33,68.89,June,Monsoon,Non-Festival Period,86.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 12:00:00,46.5,26.05,6.7,0.42,22.05,June,Monsoon,Non-Festival Period,46.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 13:00:00,68.25,24.35,6.3,0.42,29.4,June,Monsoon,Non-Festival Period,68.25,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 14:00:00,146.75,21.92,8.63,0.5,0.98,June,Monsoon,Non-Festival Period,131.3976510067114,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 15:00:00,174.0,22.58,8.63,0.36,0.78,June,Monsoon,Non-Festival Period,149.50335570469798,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 16:00:00,90.5,20.88,8.63,0.3,0.2,June,Monsoon,Non-Festival Period,90.5,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 17:00:00,68.75,28.6,8.63,0.53,1.37,June,Monsoon,Non-Festival Period,68.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 18:00:00,49.75,25.95,8.63,0.24,3.08,June,Monsoon,Non-Festival Period,49.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 19:00:00,41.75,28.1,8.63,0.09,0.64,June,Monsoon,Non-Festival Period,41.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 20:00:00,44.75,31.18,4.2,0.32,22.05,June,Monsoon,Non-Festival Period,44.75,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 21:00:00,36.5,27.68,6.22,0.25,0.59,June,Monsoon,Non-Festival Period,36.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 22:00:00,29.25,24.2,6.15,0.31,22.05,June,Monsoon,Non-Festival Period,30.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-21 23:00:00,21.5,24.98,6.2,0.32,22.05,June,Monsoon,Non-Festival Period,31.225,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 00:00:00,24.5,27.5,9.4,0.48,1.18,June,Monsoon,Non-Festival Period,34.375,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 01:00:00,30.0,26.03,8.63,0.59,0.2,June,Monsoon,Non-Festival Period,32.5375,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 02:00:00,33.5,26.82,8.63,0.3,0.39,June,Monsoon,Non-Festival Period,33.525,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 03:00:00,38.5,31.22,8.63,0.33,0.59,June,Monsoon,Non-Festival Period,39.025,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 04:00:00,38.5,27.4,8.63,0.12,22.05,June,Monsoon,Non-Festival Period,38.5,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 05:00:00,30.0,27.48,8.63,0.42,0.2,June,Monsoon,Non-Festival Period,34.35,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 06:00:00,33.75,35.38,1.7,0.34,22.05,June,Monsoon,Non-Festival Period,44.225,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 07:00:00,73.25,36.33,1.15,0.29,2.64,June,Monsoon,Non-Festival Period,73.25,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 08:00:00,46.25,30.95,0.65,0.14,1.76,June,Monsoon,Non-Festival Period,46.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 09:00:00,41.25,25.7,0.8,0.07,2.55,June,Monsoon,Non-Festival Period,41.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 10:00:00,53.75,25.8,0.77,0.34,1.03,June,Monsoon,Non-Festival Period,53.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 11:00:00,33.25,26.6,8.63,0.29,2.26,June,Monsoon,Non-Festival Period,33.25,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 12:00:00,29.75,27.35,6.0,0.33,2.06,June,Monsoon,Non-Festival Period,34.1875,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 13:00:00,44.0,24.88,8.32,0.32,22.05,June,Monsoon,Non-Festival Period,44.0,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 14:00:00,95.0,23.78,7.25,0.47,1.47,June,Monsoon,Non-Festival Period,95.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 15:00:00,150.25,25.15,8.63,0.57,2.29,June,Monsoon,Non-Festival Period,133.7231543624161,Moderate,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 16:00:00,94.0,25.67,8.63,0.31,3.48,June,Monsoon,Non-Festival Period,94.0,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 17:00:00,72.75,22.78,8.63,0.23,1.86,June,Monsoon,Non-Festival Period,72.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 18:00:00,62.75,24.4,8.63,0.32,0.85,June,Monsoon,Non-Festival Period,62.75,Satisfactory,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 19:00:00,50.75,26.33,8.63,0.24,0.2,June,Monsoon,Non-Festival Period,32.912499999999994,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 20:00:00,17.5,28.75,6.6,0.24,22.05,June,Monsoon,Non-Festival Period,35.9375,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
2024-06-22 21:00:00,20.75,27.35,8.32,0.42,22.05,June,Monsoon,Non-Festival Period,34.1875,Good,Thoothukudi,Tamil Nadu,8.8457035,77.9938178
